Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Title Text Segments 1,Video Text Update Timestamp
vStFQUuYcsY,2020-04-24T00:51:49.622245+00:00,"Here's a copycat version of Boiling Crab's recipe. I also tell a story of how I got fired from my first restaurant gig.

★ Shoutouts★
David

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com


Shortrib Recipe can be found here:
►►https://www.youtube.com/watch?v=k4d2a...

#mukbang #asmr #kevito",,2023-08-10T13:51:23.900506+00:00
sxH0NQi0id4,2020-04-26T23:57:21.203175+00:00,"I know it’s only been two weeks, but here’s what I have to say. 

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Check out my latest video:

How to make Boiling Crab's whole shabang
►►https://www.youtube.com/watch?v=vStFQUuYcsY&t=65s

#roadto1k #kevokevito #essj",THINKING ABOUT QUITTING..? :O,2023-08-09T23:54:35.661492+00:00
aHf67h9_Huc,2020-04-28T02:39:45.124516+00:00,"San Jose has a crazy cult following for chicken sandwiches at the moment. I am here to try and tackle the giants. Shoutouts to Scratch SJ for the inspiration.

Flour mixture for both wheat and tapioca:

-3 Cups of starch
-1 tbls salt
-1/2 tsp poultry seasoning
-1/2 tsp ground ginger
-1/2 tsp ground garlic
-1/2 tsp nutmeg
-1/2 tsp thyme
-1/2 tsp white pepper
-1/2 tsp black pepper
-1/2 tsp paprika
-1/2 tsp celery salt
-1/2 tsp onion powder (optional) 


★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Watch the first part of the video - How to make TAPIOCA fried chicken:
►►https://youtu.be/7y9BbD4pgBw pt.1

 #kevito #mukbang #asmr",I tried making a HENNESSY HOT CHICKEN SANDWICH + MUKBANG!,2023-08-11T04:13:32.10247+00:00
62DCDBde6Fo,2020-04-29T01:27:08.569261+00:00,"I have been substituting and messing around with tapioca starch since I can't come across any flour in my local grocery stores. Tweaked with the batter a lot, but unfortunately whatever I recorded lost all of the audio :( 

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Check out how to make the Henessy Sauce here:
►►https://www.youtube.com/watch?v=4FHrrUhuLPI&t=546s

#essj #kevito #mukbang",GLUTEN FREE Corn Dogs Turned Out To Be Amazing!!! (BIG BITES + CRUNCH),2023-08-10T03:42:25.282404+00:00
QxSMDUAXLCE,2020-04-30T01:46:17.884476+00:00,"This was by far the best tasting burger I've made at home. Either that or I was extremely HUNGRY!! :D
I was inspired to make this by the Korean Mukbangers of YouTube. IT DID NOT DISAPPOINT.

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Check out my most recent video here:
►►https://youtu.be/62DCDBde6Fo

#mukbang #asmr #kevito",How to make the BEST JUICY LUCY HOT CHEETO BURGER!!!,2023-08-11T02:08:41.055426+00:00
lxTW2WoJCGo,2020-05-01T01:27:08.943632+00:00,"Everyone was telling me I look like a monk, so I took the opportunity to learn how to make vegan food with my mother.

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Gluten Free Corn Dog Mukbang: 
►►https://youtu.be/62DCDBde6Fo

#mukbang #asmr #kevito",Vegan Crispy Noodles w/ my Birth Giver (HOW TO + MUKBANG/ASMR!),2023-08-11T15:22:57.087457+00:00
NOmVJ6Gkc7U,2020-05-02T01:13:46.275158+00:00,Did I win or fail? You tell me.,Eating A Whole Costco Rotisserie Chicken MUKBANG/ASMR,2023-08-09T21:15:10.451818+00:00
ZWH35_kDiGY,2020-05-04T04:12:04.835974+00:00,"Let me know what you guys want to see down here:
http://www.polljunkie.com/poll/ypqean/100-sub-special

#kevito #roadto1k #essj",,2023-08-11T06:31:50.538652+00:00
MJxdISyJ52w,2020-05-04T22:41:59.292457+00:00,"Forgot to include tomato paste to my ingredients list. I ended up putting some in later on in the video.

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

How to Make Vegan Crispy Noodles
►►https://youtu.be/lxTW2WoJCGo

#mukbang #asmr #kevito",,2023-08-10T00:20:49.766745+00:00
RBvdaw5KiYA,2020-05-06T01:40:38.291943+00:00,"Wanted to see if booze worked in this recipe. It was a damn success!!! As always I gotta have cucumbers on the side 

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

One Pot Recipe Series: Pan Roast
►►https://www.youtube.com/watch?v=MJxdISyJ52w&t=368s

#mukbang #asmr #kevito",First time making SPICED RUM SHRIMP ALFREDO + MUKBANG!,2023-08-10T17:37:44.767286+00:00
pHmhWcowvoo,2020-05-08T03:57:15.406714+00:00,"Demi (the voice in my head) told me that I forgot about Cinco De Mayo!!! That shelter in place got my head in the water.

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

One Pot Recipe Series: Pan Roast
►►https://www.youtube.com/watch?v=MJxdI...

#mukbang #asmr #kevito",First time making CARNE ASADA TACOS + MUKBANG!,2023-08-11T06:01:46.866993+00:00
l2Y7k3h3zGQ,2020-05-09T02:30:03.292017+00:00,,,2020-05-09T05:53:02.263629+00:00
FPrVxfhjgOI,2020-05-13T20:53:31.094108+00:00,"★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

YOU CAN ORDER PAN ROAST SUPER LIMITED SUPPLY: @DOINTHEROAST
►►https://www.instagram.com/dointheroast

How to Make Henessy Wings!
►►https://www.youtube.com/watch?v=4FHrrUhuLPI&t=732s

#Kevito #reaction #ddg",DDG - Exotics (Official Music Video) - REACTION!,2023-08-10T03:58:20.625819+00:00
SLkv5VEWwcI,2020-05-19T03:36:22.322791+00:00,"Had low energy in the vid, but I’m back from vacation baybeeeeee!!!!! I know everyone's been waiting for the carnage... so here it is. surprisingly not bad. 

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

You can get these peppers here: 
►►https://www.etsy.com/shop/JerkLikeUs?ref=simple-shop-header-name&listing_id=672139884

Here' how I actually felt 2 hours after:
►►https://youtu.be/dsvUGhZ-QW8

How to Make Vegan Crispy Noodles
►►https://youtu.be/lxTW2WoJCGo

#ghostpepperchallenge #kevito #ithurts",🔥 GHOST PEPPER CHALLENGE FOR 100 SUBS 🔥 (Plays it cool),2023-08-09T17:29:59.290779+00:00
dsvUGhZ-QW8,2020-05-19T03:36:38.871213+00:00,yeah..... not so hot,,2023-08-11T07:06:49.0035+00:00
MGuvjGlLmWs,2020-05-20T03:52:05.607714+00:00,"★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

You can get this food here: 
►►https://www.yelp.com/biz/santa-fe-taqueria-san-jose

GHOST PEPPER CHALLENGE:
►►https://www.youtube.com/watch?v=SLkv5VEWwcI

Here' how I actually felt 2 hours after:
►►https://youtu.be/dsvUGhZ-QW8

#kevito #sanjose #mukbang",It's Taco Tuesday So How Fast Can I Eat This Quesadilla? [Santa Fe Taqueria],2023-08-10T13:56:22.115677+00:00
XI7jH8Ymafg,2020-05-22T03:06:36.045713+00:00,"★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

You can get this food here: 
►►https://www.roosterandrice.com/

GHOST PEPPER CHALLENGE:
►►https://www.youtube.com/watch?v=SLkv5...

How fast I can eat a quesadilla? 
►►https://www.youtube.com/watch?v=MGuvjGlLmWs&t=460s

#kevito #mukbang #asmr",Rooster n Rice Copy Cat Recipe + MUKBANG!,2023-08-11T01:53:15.065178+00:00
TdJ7cFo1Euk,2020-05-26T05:13:08.094107+00:00,"The day fade got me good

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Rooster & Rice Copycat Recipe
►►https://www.youtube.com/watch?v=XI7jH8Ymafg

GHOST PEPPER CHALLENGE:
►►https://www.youtube.com/watch?v=SLkv5...

How fast I can eat a quesadilla? 
►►https://www.youtube.com/watch?v=MGuvj...

#kevito #memorialdayvlog #roadto1k",,2023-08-11T02:51:31.113157+00:00
Et6MuBuwgxg,2020-05-28T06:26:58.52936+00:00,"How to make Vietnamese food. How to make Vietnamese skewers. How to make thit nuong. Can you eat thit nuong with a taco? Are tortillas considered bread? Is Vietnamese food easy to make? Who makes Vietnamese food other than Vietnamese people? Smoked skewers. Vietnamese smoked skewers. Banh Mi Tacos. Banh Mi Thit Nuong.

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Rooster & Rice Copycat Recipe
►►https://www.youtube.com/watch?v=XI7jH...

GHOST PEPPER CHALLENGE:
►►https://www.youtube.com/watch?v=SLkv5...

Memorial Day Mini Vlog
►►https://www.youtube.com/watch?v=TdJ7cFo1Euk&t=33s

#kevito #mukbang #asmr",Banh Mi + Banh Mi Tacos (Thịt Nướng) + MUKBANG!,2023-08-11T10:31:23.584997+00:00
3uDBho2caCE,2020-07-04T02:50:20.298984+00:00,"I've been adjusting my schedule to fit YouTube in it. I love making vids and won't stop! Trying out different camera angles in this one. 

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

 Banh Mi Tacos (Thịt Nướng)
►►https://www.youtube.com/watch?v=Et6MuBuwgxg&t=601s

#kevito #mukbang #asmr",,2023-08-09T23:48:08.29444+00:00
iePHCwu4apA,2020-07-07T23:35:50.30602+00:00,"My neighbors love telling me their food secrets. I am always happy to oblige

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

 How to make Short Rib Pesto Pasta
►►https://www.youtube.com/watch?v=3uDBho2caCE&t=447s

#kevito #mukbang #asmr",How to make (almost) INSTANT PIZZA MARGHERITA,2023-08-10T08:50:51.525973+00:00
v_GzqnD8oTA,2023-02-02T05:11:25.280978+00:00,,Battling Addiction (long),2023-08-11T14:30:48.908291+00:00
RC981F_ZIXA,2024-04-05T03:50:13.955121+00:00,,First Youtube Shorts. Dieting makes me want to record my cheat meals.,2024-04-05T03:50:13.955121+00:00
ckwtsb3IsDE,2024-04-05T13:01:18.569268+00:00,Been on a diet lately and I have been going delulu for some food.,CHEAT MEAL,2024-04-05T13:01:50.800131+00:00





