Video ID,Approx Duration (ms),Video Audio Language,Video Category,Video Description (Original),Channel ID,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13,Tag 14,Tag 15,Tag 16,Tag 17,Tag 18,Tag 19,Tag 20,Tag 21,Tag 22,Tag 23,Tag 24,Tag 25,Tag 26,Tag 27,Tag 28,Tag 29,Tag 30,Tag 31,Tag 32,Tag 33,Tag 34,Tag 35,Tag 36,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
UVPwundg0Ik,149000,,How-To,oh yah baby,UCbClSOItOom1IT8ZLKnZYEA,bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barzz,Private,Processed,2012-02-03T01:20:32+00:00,
9PNm5rWp_JE,76000,,Education,"16 bars in 15 minutes on Drake's Club Paradise instrumental. 
Shoutout's to kixxie's koncept.",UCbClSOItOom1IT8ZLKnZYEA,Hip,hop,Bars,Rap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 in 15 #1,Private,Processed,2012-02-03T23:41:33+00:00,2012-02-03T23:43:29+00:00
KmKsv4XT8I0,78000,,Education,spittin bars on Tyga's still got it,UCbClSOItOom1IT8ZLKnZYEA,hip,hop,rap,bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 in 15 #2,Private,Processed,2012-02-04T23:21:50+00:00,2012-02-04T23:25:17+00:00
m_A5b59JYBU,58000,,News,Spittin bars in Sound Provider's Who Said What,UCbClSOItOom1IT8ZLKnZYEA,Hip,Hop,Rap,Bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 in 15 #3,Private,Processed,2012-02-07T04:38:37+00:00,2012-02-07T04:40:38+00:00
hcslJvMXFbA,133000,,Entertainment,i said 32 but actually 36,UCbClSOItOom1IT8ZLKnZYEA,hip,hop,rap,bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 bars,Private,Processed,2012-02-10T06:08:36+00:00,2012-02-10T06:14:04+00:00
VKSBUQQMdRM,63000,,Entertainment,Alchemist's Deep Meditation,UCbClSOItOom1IT8ZLKnZYEA,16,in,15,hip,hop,rap,bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 in 15 #4,Private,Processed,2012-02-12T03:20:45+00:00,2012-02-12T03:22:18+00:00
jDLt2Rke6OI,104000,,Entertainment,yolo,UCbClSOItOom1IT8ZLKnZYEA,kq,swaggin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vday barzz,Private,Processed,2012-02-15T00:56:26+00:00,2012-02-15T00:59:52+00:00
pbCkpZtzGTo,16000,,Comedy,Swaggin out,UCbClSOItOom1IT8ZLKnZYEA,Ollie,Skating,Fail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bk ollie,Private,Processed,2012-02-18T00:12:15+00:00,2012-02-18T00:13:22+00:00
NhUdnIB0Jz4,68000,,Science,hangover swag spittin on tupac's all about you,UCbClSOItOom1IT8ZLKnZYEA,hip,hop,rap,bars,16,in,15,minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 in 15 #5,Private,Processed,2012-02-22T16:39:22+00:00,2012-02-22T16:41:19+00:00
0r0hvPIxYUM,60000,,Entertainment,"spittin bars to Panik of Moleman's Good Mornin Headache

For KN:
the insecurities that people have, makes me laugh, but the fact is
my raps is the only thing that shows this type of practice
Im lackin the self confidence that I would like but despite of what i do
I don't really do what I like
people be tellin me, damn kevz you got game
you're so talented, intelligent, got a nice brain
maybe one day you might go and reach the hall of fame
but deep down, I know I don't have this mentality
the devil inside myself be graspin me actually
the little bitch inside be hastlin
the angel on my left, and my pride on the right
the choice to say fuck it and die, or keep the fire inside
i scream yolo out loud and the fire ignites
for the courage that I have to keep it stayin in flight
and at the end of the night, there ain't no regrets
but the insecurities of my mind haven't died yet",UCbClSOItOom1IT8ZLKnZYEA,swaggin,out,with,my,dragon,out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 in 15 #6,Private,Processed,2012-02-29T22:51:48+00:00,2012-02-29T22:53:29+00:00
hmzVMDwe9SU,33000,,Entertainment,Swaaaaaag,UCbClSOItOom1IT8ZLKnZYEA,Twerking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas twerking,Private,Processed,2012-03-03T18:28:17+00:00,2012-03-03T18:30:38+00:00
60n2niqIDcQ,52000,,Entertainment,PROOF i sent the email,UCbClSOItOom1IT8ZLKnZYEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA PROOF!!!,Private,Processed,2014-11-11T20:00:22+00:00,2020-04-27T00:11:01+00:00
jjszSHMo7Rw,174000,,Entertainment,"Short video about what I want to do with this channel.

I actually recorded this on midnight of new years, but I never really decided to upload it until now! I have plans for this channel, but nothing too big yet!

Content I plan on putting out:

Mukbang
Music
Reaction videos
ENTERTAINMENT!",UCbClSOItOom1IT8ZLKnZYEA,KQTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By the time I'm 30 I am F****D!,Private,Processed,2019-03-07T03:06:42+00:00,2019-03-07T03:09:20+00:00
VRN346pygUY,174000,,Entertainment,"Short video segment on what I want to do with my prehistoric channel.

Recorded this on new years eve, but I never really decided to pull the trigger on the upload until now! There are plans for this channel, but nothing too substantial.

Content Planned:

Mukbang
Music
Reaction Videos
Question and Answer
Entertainment!!!",UCbClSOItOom1IT8ZLKnZYEA,KQTV first video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By the time I'm 30 I am F****D!!!,Private,Processed,2019-03-07T03:19:45+00:00,2019-03-07T03:46:34+00:00
TT1sHROahYg,174000,,Entertainment,"Short video on what I want to do with my prehistoric channel.

Been a YouTube user, but never actually made videos. I think I'm going to try it out. There are plans for this channel but nothing too substantial:

Mukbang
Music
reaction Videos
Q and A 
Entertainment!!! (Skits?)


FOLLOW ME ON:
Instagram - NoCapKevo
Twitter - XOKEVINO",UCbClSOItOom1IT8ZLKnZYEA,KQTV,Introduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(CHANNEL INTRO) By the time I'm 30 I'm F****D!!!,Private,Processed,2019-03-07T03:59:00+00:00,2019-03-07T04:08:39+00:00
b0pTYBekVC0,185000,en,Entertainment,"First single written and performed by NoCapKevo (me)

Follow me on the socials!
Twitter - https://twitter.com/xokevino
Snapchat - https://www.snapchat.com/add/iamtwinker
Instagram- https://www.instagram.com/nocapkevo

Business Inquiries: kqplur@gmail.com

Music by KNASTYZ support him!!! :
purchase beats - https://prodbyknastyz.com
instagram - instagram.com/prodbyknastyz
business inquiries- prodbyknastyz@gmail.com

Mix and Master by Kusta of Burgundy Suites

Lyrics: 

(hook)
Pull up on the block lil' shorty she be wit' it
Exo boys we on the map no competition
You think you bangin' us on wax you dudes be trippin
Take that wax up out your ear you better listen
We aint g’s and we ain't frontin' nor we floggin
Exotic boys we aint a mob but aye we be mobbin
Them yellow boys that be rappin aint seen often
When they hear our music all the people boppin

(verse 1)
Ok, yeah we juiced up no OJ
Exotic and melodic yellows coming out san jose
I beat the pussy up and then I ended up on Maury
Told me it aint mine then I went to eat Chipotle
Ok, yeah we juiced up no oj
They think that I be trollin' something like if I was treyway
I'm treating every song like it’s giving me a payday
Murder on my mind with these beats they say mayday
Yellow boys up next and you be witnessing that we the shit
Can’t you see that we be lit
And everybody lookin' at us they cannot even resist
They lovin' all our witt
We be goin' all in and we never call it quits
This the life that we live
And if it doesn’t work out back to the basics
But that shit won’t even happen
All of you need to stop cappin'
And these girls so bad but they gotta stop yappin'
I don’t got need a gun this Katana bitch I'm packin'
And I'm makin' all these track and then collecting all these rackends
You don’t really need to know what I did back then 
Used to be slackin' but now a days I’m slappin'
Baby got that yellow fever come and ride the wagon
Ybs up next bet you can’t even imagine

(hook)
Pull up on the block lil' shorty she be wit' it
Exo boys we on the map no competition
You think you bangin' us on wax you dudes be trippin
Take that wax up out your ear you better listen
We aint g’s and we ain't frontin' nor we floggin
Exotic boys we aint a mob but aye we be mobbin
Them yellow boys that be rappin aint seen often
When they hear our music all the people boppin'

(verse 2)
Shhh.. please shut the fuck up
I'm tired of of these lames dudes talkin'
When I go on a track fans start hawkin'
Probably rather see me on YouTube vloggin'
Got fans from san jose up to Stockton
Mess with my clique poke your eyes with some chopsticks
Or maybe you get drop kicked
Two legs to your face make your body start floppin
And I can switch flow up, I'm about to glow up
Used to flip shit in my whip doin' donuts
I be goin' so nuts, she love it when I show up
Got a 4 with a liter boutta po' up
Bringin' back the hyphy, ain't nobody like me
Tryna get these checks ima do it like Nike
And aint nobody guide me
Did this shit by myself no advising",UCbClSOItOom1IT8ZLKnZYEA,nocappin,asianrapper,freestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NoCapKevo - PULL UP! (prod. by KNASTYZ),Private,Processed,2019-03-13T17:44:14+00:00,2019-03-13T17:54:05+00:00
YntI9ji-YBE,187000,en,Entertainment,"My rendition of ThaiVG's ""Now That I''m Older."" Second song I ever recorded and did this challenge with the intention of making the song my own.

Follow me on the socials!
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo

Business Inquiries: kqplur@gmail.com

Huge Thank You to Kusta of Burgundy Suite! 

https://http://www.theburgundysuite.com/
https://https://www.instagram.com/kusta.grace/

Lyrics: 

[Verse 1]
I work so hard for the money
can’t nobody take that shit from me
I earned everything that I got
been at the bottom made my way up to the top
and I ain't tryna hear nobody shit
ain't nobody invested none of this
I took so many chances getting rich
and I knew my life would be like this
so I stayed on my grind, stayed on my grind
don’t ever come at me wasting my time
I've been so real with you my whole life
so don’t ever question me just be by my side
now that I'm older, this life yeah I chose it
butterfly door closing now the coupe is moving in motion
and in my mind feeling focused
and I'm no longer feeling hopeless 
and my people telling me I'm chosen
but my heart already know this

[Hook]
Now that I'm older
I got the weight up off my shoulders
knowing life ain't over
I gotta get right this my life (2x)

[Verse 2]
flow be melodic I’m new gen
now that I’m older I cut people off and I getta' choose all of my new friends
people they doubt me the way that I look actin like I don't follow the new trends
'member way back had no ends now I’m mature making amends
with my past yeah it was tragic I ain’t have shit
Watchu' know bout having only top ramen up in your cabinet
when the competition hear the way I do they all panic
now a days eating steak and lobster, I'm living lavish
now that I'm older my heart really colder
the smoke be potent odor dreams are getting a little closer
and in my mind feeling focus 
and I'm no longer feeling hopeless 
my people telling me I'm chosen
but my heart already know this
and I know I know I know
some of us been through the most
dominate from coast to coast
Now I'm on let’s make a toast

[Hook]
Now that I'm older
I got the weight up off my shoulders
knowing life ain't over
I gotta get right this my life (2x)",UCbClSOItOom1IT8ZLKnZYEA,nowthatimolderchallenge,ThaiVG,Nowthatimolder,now that im older,now that im older challenge,asian,vietnamese,asian rap,vietnamese rap,rapper,hip hop,music,thai vg now that i'm older,,,,,,,,,,,,,,,,,,,,,,,,ThaiVG - Now That I'm Older (Kevo Remix Official Audio) #nowthatimolderchallenge,Private,Processed,2019-04-06T05:47:00+00:00,2019-04-17T19:13:31+00:00
3iKPYTmG7Tw,186000,,Entertainment,"original song can be found here - https://www.youtube.com/watch?v=b0pTYBekVC0

Rough draft of my debut song upon request

Lyrics:

(hook)
Pull up on the block lil' shorty she be wit' it
Exo boys we on the map no competition
You think you bangin' us on wax you dudes be trippin
Take that wax up out your ear you better listen
We aint g’s and we ain't frontin' nor we floggin
Exotic boys we ain't a mob but aye we be mobbin
Them yellow boys that be rappin aint seen often
When they hear our music all the people boppin

(verse 1)
Ok, yeah we juiced up no OJ
Exotic and melodic yellows coming out San Jose
I beat the pussy up and then I ended up on Maury
Told me it ain't mine then I went to eat Chipotle
Ok, yeah we juiced up no OJ
They think that I be trollin' something like if I was treyway
I'm treating every song like it’s giving me a payday
Murder on my mind with these beats they say mayday
Yellow boys up next and you be witnessing that we the shit
Can’t you see that we be lit
And everybody lookin' at us they cannot even resist
They lovin' all our witt
We be goin' all in and we never call it quits
This the life that we live
And if it don’t work out back to the basics
But that shit won’t even happen
All of you need to stop cappin'
And these girls bad but they gotta stop yappin'
I don’t need a gun this Katana bitch I'm packin'
And I'm makin' all these track and then collecting all these rackends
You don’t really need to know what I did back then 
I Used to be slackin' but now a days I’m slappin'
Baby got that yellow fever come and ride the wagon
Ybs up next bet you can’t even imagine

(hook)
Pull up on the block lil' shorty she be wit' it
Exo boys we on the map no competition
You think you bangin' us on wax you dudes be trippin
Take that wax up out your ear you better listen
We aint g’s and we ain't frontin' nor we floggin
Exotic boys we ain't a mob but aye we be mobbin
Them yellow boys that be rapping ain't seen often
When they hear our music all the people boppin'

(verse 2)
Shhh.. please shut the fuck up
I'm tired of of you lames dudes talkin'
EXO Kevo on the track fans start hawkin'
Probably rather see me on YouTube vloggin'
Got fans from San Jose up to Stockton
Mess with my clique poke your eyes with some chopsticks
Or maybe you get drop kicked
Two legs to your face make your body start flopping
And I can switch flow up, I'm about to glow up
Used to flip shit in my whip doing donuts
and I be going so nuts, she love it when I show up
Got a 4 with a liter about to pour up
Bringing back the hyphy, ain't nobody like me
Tryna get these checks ima do it like Nike
And ain't nobody guide me
Did this shit by myself no advising

(Hook)
Pull up on the block lil' shorty she be with it
Exo boys we on the map no competition
you think you banging us on wax you dudes be trippin
Take that wax up out your ear you better listen
We ain't g''s and we ain't frontin nor we floggin
exotic boys we ain't a mob but aye we mobbin
them yellow boys that be rappin ain''t seen often
When they hear our music all the people boppin",UCbClSOItOom1IT8ZLKnZYEA,san jose,mobbin,exokevo,nocapkevo,pull up!,san jose rap,san jose music,408,shark tank,east side san jose,east san jose,669,bay area,yay area,hyphy,hyphy san jose music,prod. by yung pear,yung pear,half the team hit,culture,san jose culture,kq,kq rapping,kq rap,exotic boys,exo quoc,exo quocka,exo quockie,exotic and melodic,exotic yellows,exo kevo,408 shark tank,da bay,408 da bay,south bay,south bay area,"NoCapKevo - ""Half the team hit"" (Pull Up! Rough Draft) [Prod. By Yung Pear]",Private,Processed,2019-04-10T08:57:50+00:00,2019-04-10T09:06:33+00:00
A4gN4KuVVwA,1025000,,Entertainment,"Bored at home

Mukbang starts at 5:51",UCbClSOItOom1IT8ZLKnZYEA,#mukbangasmr,#athomecooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I MADE the EASIEST RIBS EVER! + MUKBANG !,Private,Processed,2020-04-10T22:24:56+00:00,2020-04-11T01:03:22+00:00
uBHjd7sLBQg,597000,,Entertainment,"Today was very special. Mukbang at around 3 mins.

Follow me on the socials!
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo

Business Inquiries: kqplur@gmail.com",UCbClSOItOom1IT8ZLKnZYEA,how to make fried fish,fried fish,mukbang,fried fish mukbang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MY OG taught me HOW TO MAKE THE BEST VIETNAMESE FRIED FISH (CÁ CHIÊN) + MUKBANG!,Private,Processed,2020-04-12T21:17:04+00:00,2020-04-12T21:59:51+00:00
3Ga-lxVTSjY,1003000,,Entertainment,"Thank You Christina!! I had fun making this video.

Shoutouts to Tristan Chu and Chris Tran. 

Mukbang starts at 5:58

Follow me on the socials!
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com",UCbClSOItOom1IT8ZLKnZYEA,rib-eye mukbang,how to make fried onion strings,asian rib-eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I made the “GUARANTEED TO GET YOU SOME” STEAK + MUKBANG!,Private,Processed,2020-04-13T23:26:18+00:00,2020-04-14T01:12:04+00:00
7y9BbD4pgBw,490000,en,Entertainment,"Had to split this into two parts. Big shout out to Claire, I haven’t made fried chicken in almost a year.

Flour mixture for both wheat and tapioca:

-3 Cups of starch
-1 tbls salt
-1/2 tsp poultry seasoning
-1/2 tsp ground ginger
-1/2 tsp ground garlic
-1/2 tsp nutmeg
-1/2 tsp thyme
-1/2 tsp white pepper
-1/2 tsp black pepper
-1/2 tsp paprika
-1/2 tsp celery salt
-1/2 tsp onion powder (optional) 

★ Shoutouts★
Kimmy
Timmy

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Watch the first part of the video - How to make TAPIOCA fried chicken:
►►https://youtu.be/7y9BbD4pgBw pt.1

#friedchicken #mukbang #asmr",UCbClSOItOom1IT8ZLKnZYEA,friedchicken,mukbang,asmr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How to make TAPIOCA FRIED CHICKEN + MUKBANG! Pt. 1,Unlisted,Processed,2020-04-15T03:00:45+00:00,2020-04-15T05:19:54+00:00
TElkuN3d_E0,626000,,Entertainment,"Part two of my series. Big shout out to Claire, I haven’t made fried chicken in almost a year.

★ Shoutouts★
Kimmy
Timmy

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Watch the first part of the video - How to make TAPIOCA fried chicken:
►►https://youtu.be/7y9BbD4pgBw pt.1

#friedchicken #mukbang #asmr",UCbClSOItOom1IT8ZLKnZYEA,mukbang,asmr,friedchicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How to make TAPIOCA FRIED CHICKEN + MUKBANG! Pt. 2,Private,Processed,2020-04-15T22:17:02+00:00,2020-04-15T23:00:08+00:00
OTS808LDypY,848000,,Film,"Today I tried making fresh boba, and here's how it turned out.

Fresh Boba Ingredients: 
30g brown sugar
30g 30g water
45g Tapioca Starch

 Dalgona Coffee Ingredients:
1 part instacoffee
1 part water
1 part white sugar

★ Shoutouts★
Moriah D
Hunter D
Jai M

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com


How to make TAPIOCA fried chicken:
►►https://youtu.be/7y9BbD4pgBw pt.1
►►https://youtu.be/TElkuN3d_E0

#freshboba #dalgonacoffee #mukbang #asmr",UCbClSOItOom1IT8ZLKnZYEA,freshboba,dalgonacoffee,mukbang,asmr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My first time making FRESH BOBA and DALGONA COFFEE + MUKBANG!,Private,Processed,2020-04-16T19:31:30+00:00,2020-04-16T22:00:15+00:00
4FHrrUhuLPI,1296000,,Film,"I got a little too tipsy, so I couldn't finish editing yesterday. Thank you Jai for suggesting this dish, it was quite exquisite. 

Ingredients for fried chicken can be found here:
https://www.youtube.com/watch?v=7y9BbD4pgBw&t=59s

Shoutouts:
Tomas
Kenny P
Eric H
Gavin T 
Lena D
Kat H

Follow me on the socials!
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

 #mukbang #asmr #leftoverschallenge",UCbClSOItOom1IT8ZLKnZYEA,mukbang,asmr,leftoverschallenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I made the best HENNESSY WINGS using LEFTOVERS + MUKBANG! *SHOTS SHOTS SHOTS*,Private,Processed,2020-04-18T14:36:29+00:00,2020-04-18T22:00:02+00:00
k4d2a860SD0,981000,,How-To,"Decided that I'm going to be uploading on a consistent basis Monday-Friday @3pm, so that's why this video is a little late (and other obvious reasons.)

★ Shoutouts★
Johnny B. from Bay Area Fast Reel
Mister Tree Tree
Ivy D.

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com


I made the best HENESSY WINGS using LEFTOVERS too
►►https://youtu.be/4FHrrUhuLPI

#fourtwenty #mukbang #asmr",UCbClSOItOom1IT8ZLKnZYEA,mukbang,asmr,fourtwenty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felt like making a FANCY 4/20 FEAST with BRAISED SHORT RIBS + MUKBANG!,Private,Processed,2020-04-21T16:23:09+00:00,2020-04-21T22:00:14+00:00
 -ksOXve-tKE,721000,,How-To,"Suuuuper spicy.


★ Shoutouts★
Dat Dat

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com


Shortrib Recipe can be found here:
►►https://www.youtube.com/watch?v=k4d2a860SD0&t=681s

#mukbang #asmr #cookingathome",UCbClSOItOom1IT8ZLKnZYEA,mukbang,asmr,cookingathome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I made some SIMPLE SPICY SESAME NOODLES + MUKBANG!,Private,Processed,2020-04-22T20:48:31+00:00,2020-04-22T22:05:53+00:00
vStFQUuYcsY,1346000,,How-To,"Here's a copycat version of Boiling Crab's recipe. I also tell a story of how I got fired from my first restaurant gig.

★ Shoutouts★
David

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com


Shortrib Recipe can be found here:
►►https://www.youtube.com/watch?v=k4d2a...

#mukbang #asmr #kevito",UCbClSOItOom1IT8ZLKnZYEA,mukbang,asmr,kevito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How to make BOILING CRAB'S WHOLE SHABANG + MUKBANG!,Unlisted,Processed,2020-04-24T00:17:18+00:00,2020-04-24T00:51:58+00:00
sxH0NQi0id4,214000,,How-To,"I know it’s only been two weeks, but here’s what I have to say. 

★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Check out my latest video:

How to make Boiling Crab's whole shabang
►►https://www.youtube.com/watch?v=vStFQUuYcsY&t=65s

#roadto1k #kevokevito #essj",UCbClSOItOom1IT8ZLKnZYEA,roadto1k,kevokevito,essj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THINKING ABOUT QUITTING..? :O,Private,Processed,2020-04-26T22:58:54+00:00,2020-04-27T00:11:11+00:00
pt-7FEIhYc4,11000,,How-To,,UCbClSOItOom1IT8ZLKnZYEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"April 26, 2020",Private,Processed,2020-04-27T05:40:45+00:00,
bCJ0XUG-5-4,7000,,How-To,Swag,UCbClSOItOom1IT8ZLKnZYEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Test,Private,Processed,2020-04-27T16:55:12+00:00,
uQf85BIb_lk,8000,,How-To,,UCbClSOItOom1IT8ZLKnZYEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Test,Private,Processed,2020-04-27T17:41:21+00:00,
aHf67h9_Huc,702000,,How-To,"San Jose has a crazy cult following for chicken sandwiches at the moment. I am here to try and tackle the giants. Shoutouts to Scratch SJ for the inspiration.

Flour mixture for both wheat and tapioca:

-3 Cups of starch
-1 tbls salt
-1/2 tsp poultry seasoning
-1/2 tsp ground ginger
-1/2 tsp ground garlic
-1/2 tsp nutmeg
-1/2 tsp thyme
-1/2 tsp white pepper
-1/2 tsp black pepper
-1/2 tsp paprika
-1/2 tsp celery salt
-1/2 tsp onion powder (optional) 


★☆★Follow me on the socials★☆★
Twitter - https://twitter.com/nocapkevo
Instagram- https://www.instagram.com/nocapkevo
Tik Tok -@kevokillem
Business Inquiries: kqplur@gmail.com

Watch the first part of the video - How to make TAPIOCA fried chicken:
►►https://youtu.be/7y9BbD4pgBw pt.1

 #kevito #mukbang #asmr",UCbClSOItOom1IT8ZLKnZYEA,kevito,mukbang,asmr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I tried making a HENNESSY HOT CHICKEN SANDWICH + MUKBANG!,Private,Processed,2020-04-28T02:07:57+00:00,2020-04-28T02:39:54+00:00
